19.5+0i,82.9216851828629+82.9216851828629i,11.7555061972996+5.92328589044412i,-63.5544385217907+63.5544385217907i
19.4999990376173+0.00612641189431434i,82.9251560733339+82.9251560733339i,11.7557532480773+5.9297365569993i,-63.5570949054236+63.5570949054237i
19.4999961504695+0.0122528231839156i,82.9286259986819+82.9286259986819i,11.7559984641712+5.93618731257584i,-63.5597521953634+63.5597521953634i
19.4999913385567+0.0183792332640907i,82.9320949584438+82.9320949584438i,11.7562418455685+5.94263815652574i,-63.562410391467+63.562410391467i
19.4999846018794+0.0245056415301269i,82.9355629521561+82.9355629521561i,11.7564833922563+5.94908908820093i,-63.5650694935918+63.5650694935918i
19.4999759404383+0.0306320473773113i,82.9390299793559+82.9390299793558i,11.7567231042221+5.95554010695341i,-63.5677295015948+63.5677295015948i
19.4999653542343+0.0367584502009315i,82.94249603958+82.94249603958i,11.7569609814536+5.96199121213513i,-63.5703904153331+63.5703904153331i
19.4999528432684+0.0428848493962752i,82.9459611323655+82.9459611323655i,11.7571970239385+5.96844240309806i,-63.5730522346635+63.5730522346635i
19.4999384075419+0.0490112443586308i,82.9494252572497+82.9494252572497i,11.7574312316648+5.97489367919413i,-63.5757149594431+63.5757149594431i
19.4999220470561+0.0551376344832867i,82.9528884137698+82.9528884137698i,11.7576636046207+5.9813450397753i,-63.5783785895284+63.5783785895284i
19.4999037618127+0.061264019165532i,82.9563506014631+82.9563506014631i,11.7578941427945+5.98779648419348i,-63.5810431247764+63.5810431247764i
19.4998835518134+0.0673903978006563i,82.9598118198672+82.9598118198672i,11.7581228461748+5.99424801180061i,-63.5837085650437+63.5837085650437i
19.4998614170604+0.0735167697839498i,82.9632720685195+82.9632720685195i,11.7583497147502+6.00069962194859i,-63.5863749101868+63.5863749101868i
19.4998373575557+0.0796431345107035i,82.9667313469578+82.9667313469578i,11.7585747485097+6.00715131398933i,-63.5890421600624+63.5890421600624i
19.4998113733018+0.0857694913762088i,82.9701896547199+82.9701896547199i,11.7587979474423+6.01360308727474i,-63.5917103145268+63.5917103145268i
19.4997834643011+0.091895839775758i,82.9736469913435+82.9736469913435i,11.7590193115373+6.0200549411567i,-63.5943793734364+63.5943793734364i
