# x1, y1, x2, y2
-0.50000,-0.50000,-0.51662,-0.51867
-0.50000,-0.50000,-0.49609,-0.47531
-0.49609,-0.47531,-0.51853,-0.48633
-0.49609,-0.47531,-0.47394,-0.46372
-0.47394,-0.46372,-0.48746,-0.48475
-0.47394,-0.46372,-0.49675,-0.47395
-0.47394,-0.46372,-0.45784,-0.44460
-0.45784,-0.44460,-0.46057,-0.46945
-0.45784,-0.44460,-0.43325,-0.44010
-0.43325,-0.44010,-0.40825,-0.44049
-0.40825,-0.44049,-0.39188,-0.42160
-0.39188,-0.42160,-0.39183,-0.44660
-0.39188,-0.42160,-0.40395,-0.44349
-0.39188,-0.42160,-0.40886,-0.43995
-0.39188,-0.42160,-0.36879,-0.41202
-0.36879,-0.41202,-0.36951,-0.38703
-0.36951,-0.38703,-0.37066,-0.36206
-0.37066,-0.36206,-0.36444,-0.33784
-0.36444,-0.33784,-0.33998,-0.33269
-0.33998,-0.33269,-0.34286,-0.30785
-0.34286,-0.30785,-0.36271,-0.32306
-0.34286,-0.30785,-0.34153,-0.33282
-0.34286,-0.30785,-0.31974,-0.29836
-0.31974,-0.29836,-0.33719,-0.31626
-0.33998,-0.33269,-0.31760,-0.34384
-0.36444,-0.33784,-0.38909,-0.33367
-0.31974,-0.29836,-0.33263,-0.31978
-0.31760,-0.34384,-0.29311,-0.34883
-0.31974,-0.29836,-0.32639,-0.32246
-0.31974,-0.29836,-0.33892,-0.31439
-0.29311,-0.34883,-0.26872,-0.34335
-0.26872,-0.34335,-0.29191,-0.35267
-0.38909,-0.33367,-0.36681,-0.32233
-0.26872,-0.34335,-0.28956,-0.35716
-0.26872,-0.34335,-0.28465,-0.36261
-0.26872,-0.34335,-0.24508,-0.33521
-0.24508,-0.33521,-0.25493,-0.35819
-0.24508,-0.33521,-0.25339,-0.35879
-0.24508,-0.33521,-0.26573,-0.34930
-0.24508,-0.33521,-0.25580,-0.35779
-0.26573,-0.34930,-0.26039,-0.37372
-0.24508,-0.33521,-0.26083,-0.35462
-0.24508,-0.33521,-0.22034,-0.33878
-0.22034,-0.33878,-0.19602,-0.33297
-0.31974,-0.29836,-0.32588,-0.32259
-0.19602,-0.33297,-0.17956,-0.31415
-0.17956,-0.31415,-0.15839,-0.30086
-0.15839,-0.30086,-0.15671,-0.27592
-0.15671,-0.27592,-0.17463,-0.29335
-0.24508,-0.33521,-0.25929,-0.35577
-0.15671,-0.27592,-0.15244,-0.30055
-0.37066,-0.36206,-0.34733,-0.35307
-0.15244,-0.30055,-0.12749,-0.29898
-0.15671,-0.27592,-0.15220,-0.25133
-0.15220,-0.25133,-0.15834,-0.22710
-0.26039,-0.37372,-0.27334,-0.35234
-0.15834,-0.22710,-0.14530,-0.24843
-0.15834,-0.22710,-0.17146,-0.20581
-0.17146,-0.20581,-0.15366,-0.18826
-0.15366,-0.18826,-0.13497,-0.17165
-0.13497,-0.17165,-0.15805,-0.18126
-0.39183,-0.44660,-0.40781,-0.42737
-0.12749,-0.29898,-0.10277,-0.29524
-0.13497,-0.17165,-0.11868,-0.15268
-0.11868,-0.15268,-0.10866,-0.12978
-0.10277,-0.29524,-0.07887,-0.28792
-0.10866,-0.12978,-0.08386,-0.12661
-0.15805,-0.18126,-0.13929,-0.19778
-0.08386,-0.12661,-0.10885,-0.12597
-0.08386,-0.12661,-0.06178,-0.11488
-0.10885,-0.12597,-0.09939,-0.14911
-0.06178,-0.11488,-0.07962,-0.13240
-0.06178,-0.11488,-0.04534,-0.09605
-0.34733,-0.35307,-0.32324,-0.34638
-0.07887,-0.28792,-0.05417,-0.28404
-0.26039,-0.37372,-0.24575,-0.39398
-0.34286,-0.30785,-0.35530,-0.28617
